Running from this directory: /cluster/work/simennes/Project_thesis/Project_thesis
Name of job: tune_params
ID of job: 23134776
The job was run on these nodes: idun-07-07
[I 2025-10-17 13:09:10,215] Trial 0 finished with value: 0.12883757602187879 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.199031432379812, 'batch_norm': True, 'lr': 1.8408544111075837e-06, 'weight_decay': 5.5136510071208614e-05, 'epochs': 336, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 0 with value: 0.12883757602187879.
[I 2025-10-17 13:25:22,318] Trial 11 finished with value: 0.11574989488086189 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3159372899718303, 'batch_norm': True, 'lr': 0.000883195436874343, 'weight_decay': 3.111816357390616e-06, 'epochs': 258, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:27:41,963] Trial 12 finished with value: 0.049690900158417345 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.11023556767955023, 'batch_norm': False, 'lr': 0.0007986721688755957, 'weight_decay': 2.9238985580796026e-07, 'epochs': 172, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 1, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:28:27,767] Trial 13 finished with value: 0.14215488898223091 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.48837255657231315, 'batch_norm': True, 'lr': 1.2701361621379633e-05, 'weight_decay': 0.0009964990820951235, 'epochs': 46, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:29:54,300] Trial 14 finished with value: 0.17417425261515973 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4578474191024107, 'batch_norm': False, 'lr': 7.497163703650452e-05, 'weight_decay': 5.550588723166037e-07, 'epochs': 100, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 7 with value: 0.188970333238224.
[I 2025-10-17 13:32:00,279] Trial 15 finished with value: 0.20301340566149362 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4740429507843431, 'batch_norm': False, 'lr': 5.521366863111358e-05, 'weight_decay': 6.593789224938558e-07, 'epochs': 150, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:34:53,247] Trial 16 finished with value: 0.15913149555386508 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5988920758258058, 'batch_norm': False, 'lr': 2.9557835863706942e-05, 'weight_decay': 1.2694539181145331e-05, 'epochs': 212, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:36:57,397] Trial 17 finished with value: 0.16816530310668373 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5330130441890734, 'batch_norm': False, 'lr': 6.443126531056174e-06, 'weight_decay': 0.0001611314248165347, 'epochs': 145, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:40:26,886] Trial 18 finished with value: 0.20175961926221223 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4479970940039998, 'batch_norm': False, 'lr': 6.54934521975969e-05, 'weight_decay': 4.96178171500625e-07, 'epochs': 258, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:44:10,374] Trial 19 finished with value: 0.11469219290782241 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.42586625833299485, 'batch_norm': False, 'lr': 0.0001993385077355656, 'weight_decay': 4.4881499800502643e-07, 'epochs': 278, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:48:41,473] Trial 20 finished with value: 0.196973759293744 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.36225829860473485, 'batch_norm': False, 'lr': 4.558649580263114e-06, 'weight_decay': 1.3440241104027414e-07, 'epochs': 328, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:53:23,912] Trial 21 finished with value: 0.19407716853256465 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.36443584014782354, 'batch_norm': False, 'lr': 3.851579445299818e-06, 'weight_decay': 1.26891255644873e-07, 'epochs': 342, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 13:57:24,708] Trial 22 finished with value: 0.18899102493885192 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.46201114806835597, 'batch_norm': False, 'lr': 1.6786511326936712e-05, 'weight_decay': 6.907563268762871e-07, 'epochs': 294, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:01:42,090] Trial 23 finished with value: 0.17530632995123652 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.49718303491853855, 'batch_norm': False, 'lr': 7.180415896587344e-05, 'weight_decay': 2.5286306345832227e-07, 'epochs': 319, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:05:13,059] Trial 24 finished with value: 0.19775178745966787 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.43194729395297704, 'batch_norm': False, 'lr': 3.769000279509282e-06, 'weight_decay': 9.062012352838729e-07, 'epochs': 254, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:08:45,406] Trial 25 finished with value: 0.1981946112577843 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4441539053792309, 'batch_norm': False, 'lr': 1.9798718146384186e-05, 'weight_decay': 9.580434626495939e-07, 'epochs': 260, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:12:08,133] Trial 26 finished with value: 0.1926542655466198 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5417687332951715, 'batch_norm': False, 'lr': 4.304517469065204e-05, 'weight_decay': 3.2427967034600665e-06, 'epochs': 250, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:13:26,550] Trial 27 finished with value: 0.17747403463783712 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.4913318796914688, 'batch_norm': False, 'lr': 0.00011726272839680441, 'weight_decay': 6.396993938519178e-06, 'epochs': 191, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:14:29,882] Trial 28 finished with value: 0.1916351721277087 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.4071871637710271, 'batch_norm': False, 'lr': 2.0765764482902355e-05, 'weight_decay': 3.0523372194036103e-07, 'epochs': 153, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:18:35,584] Trial 29 finished with value: 0.1715512030897893 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.44228846404518307, 'batch_norm': False, 'lr': 4.264037117635289e-05, 'weight_decay': 1.3790156161533133e-06, 'epochs': 303, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 10, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:22:14,983] Trial 30 finished with value: 0.1953318420861066 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.5527511862655478, 'batch_norm': False, 'lr': 0.0003476625980561035, 'weight_decay': 3.5595177324666134e-06, 'epochs': 273, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:25:40,989] Trial 31 finished with value: 0.19348943901538954 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.4667103135377776, 'batch_norm': False, 'lr': 2.8945959070496538e-06, 'weight_decay': 8.163077604660714e-07, 'epochs': 247, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:28:58,171] Trial 32 finished with value: 0.20018391408007621 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.42096606149193744, 'batch_norm': False, 'lr': 8.230024588278583e-06, 'weight_decay': 8.052041448028799e-07, 'epochs': 236, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:32:18,147] Trial 33 finished with value: 0.20247883569725925 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.3340778745963216, 'batch_norm': False, 'lr': 8.688947682742912e-06, 'weight_decay': 3.9386342725890007e-07, 'epochs': 240, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:33:07,237] Trial 34 finished with value: 0.1240974378830679 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.3033898653839987, 'batch_norm': True, 'lr': 8.339941539683102e-06, 'weight_decay': 2.516603263279454e-07, 'epochs': 201, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 7, 'weighted_edges': False, 'symmetrize_mode': 'union'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:36:23,781] Trial 35 finished with value: 0.17587676480470754 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.3446948367633702, 'batch_norm': False, 'lr': 2.4555250747973898e-06, 'weight_decay': 1.8290518500892784e-05, 'epochs': 234, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 8, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:38:13,984] Trial 36 finished with value: 0.16385359789660242 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.2524075180160144, 'batch_norm': False, 'lr': 5.79809546236141e-06, 'weight_decay': 4.2073105346428744e-07, 'epochs': 127, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 9, 'weighted_edges': True, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:39:23,688] Trial 37 finished with value: 0.08519294806823696 and parameters: {'hidden_dims': '[256, 128, 64]', 'dropout': 0.37360725391119265, 'batch_norm': True, 'lr': 5.887479539063324e-05, 'weight_decay': 1.3524985991842024e-06, 'epochs': 161, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': False, 'symmetrize_mode': 'mutual'}. Best is trial 15 with value: 0.20301340566149362.
[I 2025-10-17 14:42:11,104] Trial 38 finished with value: 0.21401267381581304 and parameters: {'hidden_dims': '[512, 256]', 'dropout': 0.3933595166590701, 'batch_norm': False, 'lr': 0.00011481516492525775, 'weight_decay': 5.78521008279438e-05, 'epochs': 202, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 6, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:43:31,294] Trial 39 finished with value: 0.2037983286285561 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3382489515512057, 'batch_norm': False, 'lr': 0.00011530008420927651, 'weight_decay': 4.8760015385312145e-05, 'epochs': 202, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:44:54,516] Trial 40 finished with value: 0.11396770775526778 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2533833228269925, 'batch_norm': True, 'lr': 0.00011376470137309411, 'weight_decay': 3.658609003470371e-05, 'epochs': 202, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:46:07,051] Trial 41 finished with value: 0.2046217444807174 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.32940643620980214, 'batch_norm': False, 'lr': 0.00012045789183346929, 'weight_decay': 3.5138932613924877e-05, 'epochs': 182, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 2, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:47:18,793] Trial 42 finished with value: 0.2005345699282903 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3359857273946061, 'batch_norm': False, 'lr': 0.00014385959018191027, 'weight_decay': 8.669366889855913e-05, 'epochs': 180, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 2, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:48:26,184] Trial 43 finished with value: 0.14971484133746044 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2960220438668504, 'batch_norm': False, 'lr': 0.00027102439417597807, 'weight_decay': 3.8237905805724596e-05, 'epochs': 168, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 2, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:49:42,857] Trial 44 finished with value: 0.11822534888744245 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3950025112571228, 'batch_norm': False, 'lr': 0.0005225843495261763, 'weight_decay': 9.211870317127624e-05, 'epochs': 193, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 2, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:50:37,850] Trial 45 finished with value: 0.19109160498834743 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2616997670323544, 'batch_norm': False, 'lr': 0.00010508411838915372, 'weight_decay': 5.123620498698759e-05, 'epochs': 132, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 38 with value: 0.21401267381581304.
[I 2025-10-17 14:52:02,807] Trial 46 finished with value: 0.21676540641081862 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.33108293420952695, 'batch_norm': False, 'lr': 0.0001575453142423997, 'weight_decay': 2.2576728998657e-05, 'epochs': 212, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 46 with value: 0.21676540641081862.
[I 2025-10-17 14:53:29,570] Trial 47 finished with value: 0.20356138493287673 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3860025528038956, 'batch_norm': False, 'lr': 0.00014156052850147757, 'weight_decay': 2.024667197241266e-05, 'epochs': 217, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 46 with value: 0.21676540641081862.
[I 2025-10-17 14:54:46,769] Trial 48 finished with value: 0.12409097527019507 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.38282935245252664, 'batch_norm': True, 'lr': 0.0002495729369234284, 'weight_decay': 2.175311079856504e-05, 'epochs': 184, 'loss': 'mae', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 46 with value: 0.21676540641081862.
[I 2025-10-17 14:56:12,782] Trial 49 finished with value: 0.19808997322144345 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2833981100566387, 'batch_norm': False, 'lr': 0.00016117863523162863, 'weight_decay': 9.395402898177315e-06, 'epochs': 217, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 3, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 46 with value: 0.21676540641081862.
[I 2025-10-17 14:57:35,305] Trial 50 finished with value: 0.13884345245840246 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.21877823463548735, 'batch_norm': False, 'lr': 0.0005679189052477721, 'weight_decay': 0.00014296072941763542, 'epochs': 210, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 1, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 46 with value: 0.21676540641081862.
[I 2025-10-17 14:59:06,606] Trial 51 finished with value: 0.2197261618782473 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3286998582982852, 'batch_norm': False, 'lr': 8.993003180368024e-05, 'weight_decay': 1.4238679404973122e-05, 'epochs': 228, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 51 with value: 0.2197261618782473.
[I 2025-10-17 15:00:36,980] Trial 52 finished with value: 0.21203258068664932 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.329638917831869, 'batch_norm': False, 'lr': 8.898520261407676e-05, 'weight_decay': 1.3979919082169728e-05, 'epochs': 226, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 51 with value: 0.2197261618782473.
[I 2025-10-17 15:02:08,284] Trial 53 finished with value: 0.2061090322268641 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3210005582660025, 'batch_norm': False, 'lr': 8.206264185867846e-05, 'weight_decay': 3.3645268811615146e-05, 'epochs': 230, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 4, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 51 with value: 0.2197261618782473.
[I 2025-10-17 15:03:38,818] Trial 54 finished with value: 0.22440305091931437 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3228586492389265, 'batch_norm': False, 'lr': 8.567428571180989e-05, 'weight_decay': 1.3037524310529706e-05, 'epochs': 227, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 54 with value: 0.22440305091931437.
[I 2025-10-17 15:05:10,115] Trial 55 finished with value: 0.2220952088676988 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3154529703438563, 'batch_norm': False, 'lr': 7.823167717596334e-05, 'weight_decay': 1.3693843848189439e-05, 'epochs': 229, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 54 with value: 0.22440305091931437.
[I 2025-10-17 15:06:12,423] Trial 56 finished with value: 0.21567775065726183 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.3044901075706611, 'batch_norm': False, 'lr': 8.68312341953041e-05, 'weight_decay': 5.414933715844622e-06, 'epochs': 273, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 54 with value: 0.22440305091931437.
[I 2025-10-17 15:07:15,823] Trial 57 finished with value: 0.2146567282052251 and parameters: {'hidden_dims': '[128, 64]', 'dropout': 0.35780003999172894, 'batch_norm': False, 'lr': 3.6882172602962336e-05, 'weight_decay': 6.160287727508168e-06, 'epochs': 277, 'loss': 'mse', 'optimizer': 'adam', 'graph_on': True, 'source': 'grm', 'knn_k': 5, 'weighted_edges': True, 'symmetrize_mode': 'union'}. Best is trial 54 with value: 0.22440305091931437.
